"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2019-12-18",2019,0.0783,0.276,0,-13.502,0,0.0401,0.352,0.943,0.165,0.0399,81.606,274546,"Fanfare and Prologue",1,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","C","minor","C minor"
"John Williams","2019-12-18",2019,0.253,0.326,2,-14.836,1,0.0419,0.704,0.836,0.156,0.173,128.198,169080,"Journey to Exegol",2,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","D","major","D major"
"John Williams","2019-12-18",2019,0.17,0.152,6,-17.539,1,0.0364,0.927,0.901,0.0854,0.038,82.245,258373,"The Rise of Skywalker",3,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","F#","major","F# major"
"John Williams","2019-12-18",2019,0.17,0.0894,10,-17.547,0,0.0357,0.781,0.911,0.0847,0.0468,106.673,196893,"The Old Death Star",4,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","A#","minor","A# minor"
"John Williams","2019-12-18",2019,0.439,0.348,4,-13.44,0,0.0318,0.805,0.664,0.236,0.13,141.981,201386,"The Speeder Chase",5,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2019-12-18",2019,0.0928,0.048,11,-22.645,1,0.0399,0.957,0.927,0.109,0.0365,77.469,312213,"Destiny of a Jedi",6,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","B","major","B major"
"John Williams","2019-12-18",2019,0.192,0.0506,11,-17.526,0,0.038,0.955,0.95,0.108,0.0386,109.755,203720,"Anthem of Evil",7,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","B","minor","B minor"
"John Williams","2019-12-18",2019,0.205,0.188,8,-18.132,1,0.0405,0.913,0.919,0.286,0.0398,143.872,171933,"Fleeing from Kijimi",8,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","G#","major","G# major"
"John Williams","2019-12-18",2019,0.0715,0.103,2,-19.08,0,0.0411,0.905,0.943,0.0846,0.0413,72.585,197466,"We Go Together",9,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2019-12-18",2019,0.0703,0.218,11,-17.489,0,0.0391,0.454,0.907,0.196,0.0375,75.123,222613,"Join Me",10,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","B","minor","B minor"
"John Williams","2019-12-18",2019,0.364,0.151,2,-17.398,0,0.033,0.937,0.912,0.114,0.153,101.945,170280,"They Will Come",11,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2019-12-18",2019,0.137,0.073,5,-18.253,0,0.034,0.843,0.875,0.109,0.0392,43.275,237506,"The Final Saber Duel",12,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2019-12-18",2019,0.233,0.407,5,-12.853,0,0.0659,0.773,0.908,0.402,0.213,58.399,171146,"Battle of the Resistance",13,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2019-12-18",2019,0.0806,0.235,0,-16.935,0,0.0369,0.799,0.952,0.101,0.0627,71.782,256346,"Approaching the Throne",14,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","C","minor","C minor"
"John Williams","2019-12-18",2019,0.0813,0.255,7,-15.603,0,0.0382,0.916,0.936,0.101,0.0374,78.925,239360,"The Force Is with You",15,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2019-12-18",2019,0.137,0.102,2,-17.984,0,0.0389,0.922,0.864,0.0978,0.0369,82.41,314493,"Farewell",16,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","D","minor","D minor"
"John Williams","2019-12-18",2019,0.125,0.187,5,-17.054,1,0.0375,0.868,0.888,0.222,0.0717,80.793,244986,"Reunion",17,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","2019-12-18",2019,0.189,0.0754,10,-19.966,1,0.0388,0.962,0.951,0.0747,0.056,80.715,107133,"A New Home",18,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","A#","major","A# major"
"John Williams","2019-12-18",2019,0.128,0.374,7,-11.184,0,0.0385,0.695,0.912,0.143,0.0701,59.032,651826,"Finale",19,"Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2017-12-15",2017,0.204,0.445,10,-10.512,1,0.0439,0.709,0.849,0.119,0.0741,148.864,445560,"Main Title and Escape",1,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","A#","major","A# major"
"John Williams","2017-12-15",2017,0.0616,0.111,7,-17.688,0,0.0406,0.93,0.918,0.0807,0.0376,45.675,262186,"Ahch-To Island",2,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2017-12-15",2017,0.0798,0.0649,5,-17.546,1,0.0418,0.797,0.687,0.0951,0.0368,170.916,208413,"Revisiting Snoke",3,"Star Wars: The Last Jedi (Original Motion Picture Soundtrack)","F","major","F major"
