"","track_name","movie_title","trilogy","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence"
"1","Main Title","A New Hope","Original",0.243,0.417,0.0392,0.684,0.912,0.13,0.175
"2","Imperial Attack","A New Hope","Original",0.168,0.181,0.0358,0.888,0.888,0.0798,0.0377
"3","Princess Leia's Theme","A New Hope","Original",0.0784,0.0649,0.0425,0.857,0.951,0.0712,0.0308
"4","The Desert and the Robot Auction","A New Hope","Original",0.271,0.0329,0.0372,0.817,0.871,0.0775,0.054
"5","Ben's Death and TIE Fighter Attack","A New Hope","Original",0.346,0.322,0.0449,0.759,0.93,0.0931,0.0976
"6","The Little People Work","A New Hope","Original",0.449,0.0534,0.0332,0.896,0.518,0.216,0.0584
"7","Rescue of the Princess","A New Hope","Original",0.29,0.361,0.0422,0.798,0.765,0.116,0.139
"8","Inner City","A New Hope","Original",0.223,0.0757,0.0366,0.849,0.9,0.13,0.0398
"9","Cantina Band","A New Hope","Original",0.699,0.419,0.134,0.255,0.0239,0.0471,0.822
"10","The Land of the Sand People","A New Hope","Original",0.299,0.173,0.0522,0.898,0.616,0.123,0.0381
"11","Mouse Robot and Blasting Off","A New Hope","Original",0.156,0.156,0.038,0.747,0.463,0.172,0.0566
"12","The Return Home","A New Hope","Original",0.0933,0.131,0.0384,0.859,0.437,0.0761,0.0345
"13","The Walls Converge","A New Hope","Original",0.197,0.108,0.036,0.859,0.749,0.131,0.0751
"14","The Princess Appears","A New Hope","Original",0.185,0.0599,0.0428,0.956,0.872,0.125,0.0393
"15","The Last Battle","A New Hope","Original",0.292,0.249,0.036,0.82,0.836,0.36,0.11
"16","The Throne Room and End Title","A New Hope","Original",0.297,0.372,0.0331,0.786,0.88,0.0758,0.191
"17","Star Wars (Main Theme)","The Empire Strikes Back","Original",0.177,0.295,0.061,0.39,0.591,0.0684,0.0825
"18","Yoda's Theme","The Empire Strikes Back","Original",0.184,0.0529,0.0398,0.718,0.839,0.117,0.0463
"19","The Training of a Jedi Knight","The Empire Strikes Back","Original",0.235,0.0518,0.0406,0.858,0.821,0.254,0.131
"20","The Heroics of Luke and Han","The Empire Strikes Back","Original",0.241,0.289,0.04,0.449,0.817,0.158,0.0875
"21","The Imperial March (Darth Vader's Theme)","The Empire Strikes Back","Original",0.577,0.379,0.0368,0.753,0.955,0.126,0.284
"22","Departure of Boba Fett","The Empire Strikes Back","Original",0.212,0.237,0.0423,0.776,0.879,0.0998,0.0393
"23","Han Solo and the Princess","The Empire Strikes Back","Original",0.156,0.0229,0.0368,0.391,0.887,0.0946,0.035
"24","Hyperspace","The Empire Strikes Back","Original",0.312,0.29,0.0543,0.623,0.901,0.0736,0.149
"25","The Battle in the Snow","The Empire Strikes Back","Original",0.248,0.547,0.0427,0.536,0.889,0.0941,0.278
